timestep,winner
5,0
99,0
87,0
68,1
26,0
72,1
106,1
56,1
89,0
53,1
86,0
59,1
80,1
34,0
93,0
9,0
29,0
77,1
65,1
44,1
2,0
13,0
90,0
23,0
48,1
17,0
58,1
16,0
62,1
82,0
49,1
71,1
12,0
52,1
40,0
107,1
78,1
70,1
94,0
50,1
6,0
8,0
83,0
39,0
81,0
19,1
88,0
66,1
25,0
74,1
96,0
3,0
79,1
24,0
67,1
18,1
100,0
31,0
45,1
61,1
97,0
20,0
41,0
1,0
15,0
37,0
30,1
57,1
64,1
109,0
47,1
0,0
76,1
60,1
22,0
95,0
42,1
75,1
36,0
92,0
55,1
108,0
104,0
46,1
101,0
98,0
21,0
54,1
63,1
84,0
27,0
35,0
85,0
10,0
105,0
69,1
7,0
-1,0
11,0
32,0
4,0
38,0
43,1
103,0
110,0
111,0
112,1
113,1
114,1
115,1
117,1
33,0
14,0
102,0
28,0
73,1
91,0
51,1
116,1
